,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,logq
WBGene00013360,6051.80638121608,0.0690761776868444,0.0344672879616115,2.00410829432763,0.0450584611201985,0.0658298133628722,Y60A3A.9,1.18157737619441
WBGene00020352,35.2480423470207,-0.677310457813361,0.338025688135578,-2.00372481023306,0.0450995470629354,0.06588345346769,T08B6.2,1.18122364413113
WBGene00022893,328.145969627701,-0.232524916968162,0.116059730439422,-2.00349351224394,0.0451243432698368,0.0659132887010612,ZK1290.13,1.18102701897594
WBGene00009190,726.994112944966,-0.14190340915005,0.0708465871330183,-2.00296746664195,0.045180780575623,0.0659893319395703,F27D4.6,1.18052626831051
WBGene00044029,109.341260849758,-0.354565769562536,0.177057468752771,-2.00254624704719,0.0452260144145812,0.0660489986697978,C05D12.7,1.18013376208394
WBGene00219736,96.416873663803,0.371706836934145,0.185646467666908,2.00222951508602,0.0452600526993812,0.0660923052061396,linc-20,1.17984910028804
WBGene00015344,7599.31027711794,-0.0575108660903716,0.0287252018439658,-2.00210485561663,0.0452734554198334,0.066103865734492,nra-4,1.17977314235903
WBGene00007553,323.437637943486,-0.253854772595707,0.126796875687375,-2.00205857770187,0.0452784318255751,0.066103865734492,C13G3.1,1.17977314235903
WBGene00119203,136.752800745944,-0.328776524870172,0.164221288454936,-2.00203352417608,0.0452811261002209,0.066103865734492,T04A8.18,1.17977314235903
WBGene00018807,123.231215765972,0.330089979876742,0.164889358324005,2.00188770962478,0.0452968097869761,0.0661203577299139,fbxa-146,1.17966480543774
WBGene00022345,20.285503417548,0.886544217717808,0.442885943132099,2.00174386084179,0.0453122865240187,0.0661365444733741,fbxa-138,1.17955850000819
WBGene00022891,42.0435847117003,-0.620588010731441,0.310083145080532,-2.00136002416471,0.0453536054527834,0.0661904429695782,ZK1290.10,1.17920471245161
WBGene00007628,2266.37591302542,0.0870655531862328,0.0435227424832184,2.0004610973172,0.0454504966695599,0.0663254270791244,C16C10.8,1.17831994485095
WBGene00016755,28.4935661899684,-0.69697390779492,0.348508835968009,-1.99987442458675,0.0455138254751158,0.0664114125253069,C49A9.1,1.17775728251643
WBGene00007988,70.729725168906,-0.436687159689022,0.2183978035425,-1.9995034409952,0.0455539099293662,0.0664634676570842,best-8,1.17741700363736
WBGene00013104,156.142423658882,-0.306871725250636,0.153561028728685,-1.99836981942094,0.0456765811411989,0.0666346610923722,Y51H4A.8,1.17629980678445
WBGene00012192,1784.56424366917,0.10973108179688,0.0549111869766179,1.99833745796837,0.0456800871138779,0.0666346610923722,W02A11.1,1.17629980678445
WBGene00020018,236.965443532374,0.24356618932118,0.121993520991468,1.9965502048114,0.0458740667696729,0.0669083441393138,R12B2.2,1.1745197179917
WBGene00009583,16694.9117004333,-0.047594479443782,0.0238386347671548,-1.99652706242047,0.0458765830743587,0.0669083441393138,aagr-3,1.1745197179917
WBGene00008378,16550.4528616132,-0.0474031787541623,0.0237444896152844,-1.99638650997361,0.0458918680369296,0.0669241608862848,ule-3,1.17441706541172
WBGene00008543,24.5230775865918,-0.736669040967085,0.36923280423633,-1.99513432315611,0.0460282317637806,0.0671165267848955,F07A5.4,1.17317052591569
WBGene00019149,34.7175096225866,-0.640360096971222,0.321141224612945,-1.9940139972469,0.0461505248702271,0.0672883402368866,H03E18.2,1.17206018405956
WBGene00009611,18.8345881504611,-0.833357467214369,0.418087378029221,-1.99326148314414,0.0462328217122677,0.067399894751911,F41D3.6,1.1713407816353
